Puertas,Con cámara de retroceso,Kilómetros,Precio_usd,Marca_Alfa Romeo,Marca_Audi,Marca_BAIC,Marca_BMW,Marca_Chery,Marca_Chevrolet,Marca_Citroën,Marca_DS,Marca_Daihatsu,Marca_Dodge,Marca_Fiat,Marca_Ford,Marca_GWM,Marca_Haval,Marca_Honda,Marca_Hyundai,Marca_Isuzu,Marca_JAC,Marca_Jaguar,Marca_Jeep,Marca_Jetour,Marca_Jetur,Marca_KAIYI,Marca_Kia,Marca_LandRover,Marca_Lexus,Marca_Lifan,Marca_Mercedes-Benz,Marca_Mini,Marca_Mitsubishi,Marca_Nissan,Marca_Peugeot,Marca_Porsche,Marca_Renault,Marca_SsangYong,Marca_Subaru,Marca_Suzuki,Marca_Toyota,Marca_Volkswagen,Marca_Volvo,Traccion_2WD,Traccion_4M,Traccion_4x2,Traccion_4x4,Traccion_AWD,Traccion_Desconocida,Traccion_FWD,Color_Blanco,Color_Color,Color_Desconocido,Color_Gris,Color_Negro,Cilindrada,Combustible_Diésel,Combustible_Eléctrico,Combustible_GNC,Combustible_Híbrido/Nafta,Combustible_Mild Hybrid,Combustible_Nafta,Combustible_Nafta/GNC,Transmision_Automática,Transmision_Automática secuencial,Transmision_Manual,Transmision_Semiautomática,Vendedor_concesionaria,Vendedor_particular,Vendedor_tienda,Modelo,antiguedad,score_estado_auto,estado_relativamente_nuevo,estado_usable,estado_viejo,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7
5.0,0,64000,17596.56652360515,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.5,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,5.0,0.44040956621656174,1,0,0,False,False,False,True,False,False,False,False
5.0,1,0,48068.58369098712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2.0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1.0,0.9761904761904762,1,0,0,False,True,False,False,False,False,False,False
5.0,0,65300,28300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1.4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,6.0,0.41579955495191717,0,1,0,False,False,False,True,False,False,False,False
5.0,0,76898,17244.635193133046,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1.5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,8.0,0.3616724541940554,0,1,0,True,False,False,False,False,False,False,False
5.0,1,109000,23000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.4,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,4.0,0.4430229181982189,1,0,0,False,False,False,True,False,False,False,False
5.0,1,0,39700.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.5,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,1.0,0.9761904761904762,1,0,0,False,True,False,False,False,False,False,False
5.0,0,170000,11000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.4,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,18.0,0.09199696987755979,0,0,1,False,False,True,False,False,False,False,False
5.0,1,149000,18884.12017167382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2.4,0,0,0,0,0,0,1,1,0,0,0,0,1,0,4,12.0,0.24010286667607844,0,0,1,False,False,False,False,True,False,False,False
5.0,1,98000,26000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2.0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,5,7.0,0.3758291108471453,0,1,0,True,False,False,False,False,False,False,False
5.0,0,133000,45000.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.6,0,0,0,0,0,1,0,1,0,0,0,1,0,0,6,12.0,0.2446249258993961,0,0,1,False,False,False,False,True,False,False,False
